,Quarter,Tm,Detail,BAL,BUF
0,1.0,Colts,Jim O'Brien 32 yard field goal,3,0
1,1.0,Bills,Lloyd Pate 1 yard rush (Grant Guthrie kick),3,7
2,1.0,Colts,Tom Nowatzke 1 yard rush (Jim O'Brien kick),10,7
3,2.0,Bills,Marlin Briscoe 10 yard pass from Dennis Shaw (Grant Guthrie kick),10,14
4,3.0,Colts,Norm Bulaich 2 yard rush (Jim O'Brien kick),17,14
5,4.0,Colts,Jim O'Brien 38 yard field goal,20,14
