,Quarter,Time,Tm,Detail,ATL,KAN
0,1.0,8:51,Falcons,Julio Jones 8 yard pass from Matt Ryan (Matt Bryant kick),7,0
1,1.0,4:02,Chiefs,Ryan Succop 39 yard field goal,7,3
2,1.0,1:57,Falcons,Matt Bryant 34 yard field goal,10,3
3,2.0,11:39,Chiefs,Kevin Boss 22 yard pass from Matt Cassel (Ryan Succop kick),10,10
4,2.0,7:48,Falcons,Julio Jones 14 yard pass from Matt Ryan (Matt Bryant kick),17,10
5,2.0,3:38,Chiefs,Matt Cassel 5 yard rush (Ryan Succop kick),17,17
6,2.0,0:10,Falcons,Matt Bryant 21 yard field goal,20,17
7,3.0,4:54,Falcons,Matt Ryan 5 yard rush (Matt Bryant kick),27,17
8,3.0,3:56,Falcons,Tony Gonzalez 7 yard pass from Matt Ryan (Matt Bryant kick),34,17
9,4.0,14:13,Falcons,Matt Bryant 30 yard field goal,37,17
10,4.0,10:40,Falcons,Matt Bryant 41 yard field goal,40,17
11,4.0,0:05,Chiefs,Shaun Draughn 4 yard rush (Ryan Succop kick),40,24
