,Quarter,Tm,Detail,FRN,CHI
0,1.0,Bears,Laurie Walquist 5 yard rush (Joey Sternaman kick),0,7
1,1.0,Bears,Johnny Mohardt unknown yard pass from Joey Sternaman,0,13
2,3.0,Bears,Dutch Sternaman 1 yard rush,0,19
