,Quarter,Time,Tm,Detail,NOR,KAN
0,1.0,6:07,Saints,Brandin Cooks 9 yard pass from Drew Brees (Wil Lutz kick),7,0
1,1.0,4:07,Chiefs,Spencer Ware 46 yard pass from Alex Smith (Cairo Santos kick),7,7
2,1.0,0:46,Chiefs,Daniel Sorensen 48 yard interception return (Cairo Santos kick),7,14
3,2.0,7:02,Chiefs,Tyreek Hill 38 yard pass from Alex Smith (Cairo Santos kick),7,21
4,3.0,6:57,Saints,Mark Ingram 3 yard pass from Drew Brees (Wil Lutz kick),14,21
5,3.0,3:21,Chiefs,Cairo Santos 39 yard field goal,14,24
6,4.0,2:33,Saints,Brandon Coleman 10 yard pass from Drew Brees (Wil Lutz kick),21,24
7,4.0,0:28,Chiefs,Cairo Santos 41 yard field goal,21,27
