,Quarter,Tm,Detail,SEA,RAI
0,1.0,Raiders,Marcus Allen 2 yard rush (Chris Bahr kick),0,7
1,2.0,Raiders,Kenny King 1 yard rush (Chris Bahr kick),0,14
2,2.0,Raiders,Rod Martin 39 yard interception return (Chris Bahr kick),0,21
3,2.0,Raiders,Marcus Allen 3 yard rush (Chris Bahr kick),0,28
4,2.0,Seahawks,Steve Largent 10 yard pass from Jim Zorn (Norm Johnson kick),7,28
5,4.0,Seahawks,Theotis Brown 3 yard rush,13,28
6,4.0,Seahawks,Roger Carr 23 yard pass from Jim Zorn (Norm Johnson kick),20,28
7,4.0,Seahawks,Norm Johnson 30 yard field goal,23,28
