,Quarter,Time,Tm,Detail,PHI,ARI
0,1.0,5:24,Cardinals,Kwamie Lassiter 78 yard interception return (Chris Jacke kick),0,7
1,2.0,7:56,Eagles,Chad Lewis 11 yard pass from Donovan McNabb (Norm Johnson kick),7,7
2,2.0,0:43,Eagles,Dameane Douglas 29 yard pass from Donovan McNabb (Norm Johnson kick),14,7
3,3.0,5:31,Eagles,Norm Johnson 29 yard field goal,17,7
4,4.0,4:31,Cardinals,David Boston 4 yard pass from Jake Plummer (Chris Jacke kick),17,14
5,4.0,0:57,Cardinals,Jake Plummer 1 yard rush (Chris Jacke kick),17,21
