,Quarter,Tm,Detail,CHI,WAS
0,1.0,Redskins,Wilbur Moore 20 yard rush (Bob Masterson kick),0,7
1,3.0,Redskins,Andy Farkas 19 yard pass from Sammy Baugh (Bob Masterson kick),0,14
2,3.0,Redskins,Alex Piasecky 7 yard pass from George Cafego (Bob Masterson kick),0,21
3,4.0,Bears,Ray McLean 58 yard pass from Sid Luckman (Bob Snyder kick),7,21
