,Quarter,Time,Tm,Detail,WAS,STL
0,1.0,,Redskins,Scott Galbraith 2 yard pass from Gus Frerotte (Scott Blanton kick),7,0
1,2.0,,Redskins,Scott Blanton 38 yard field goal,10,0
2,3.0,,Rams,Chip Lohmiller 19 yard field goal,10,3
3,3.0,,Redskins,Terry Allen 9 yard rush (Scott Blanton kick),17,3
4,4.0,,Rams,Jermaine Ross 3 yard rush (Chip Lohmiller kick),17,10
