,Quarter,Tm,Detail,WAS,PHI
0,1.0,Redskins,John Love 96 yard kickoff return (Charlie Gogolak kick),7,0
1,1.0,Eagles,Gary Ballman 59 yard pass from Norm Snead (Sam Baker kick),7,7
2,1.0,Redskins,Charlie Gogolak 30 yard field goal,10,7
3,1.0,Eagles,Gary Ballman 10 yard pass from Norm Snead (Sam Baker kick),10,14
4,2.0,Redskins,Joe Don Looney 5 yard rush (Charlie Gogolak kick),17,14
5,2.0,Eagles,Norm Snead 1 yard rush (Sam Baker kick),17,21
6,3.0,Redskins,Jerry Smith 4 yard pass from Sonny Jurgensen (Charlie Gogolak kick),24,21
7,3.0,Eagles,Tom Woodeshick 40 yard rush (Sam Baker kick),24,28
8,4.0,Eagles,Tom Woodeshick 1 yard rush (Sam Baker kick),24,35
