,Quarter,Tm,Detail,DET,RAM
0,1.0,Rams,Tank Younger 3 yard rush (Paige Cothren kick),0,7
1,1.0,Rams,Norm Van Brocklin 1 yard rush (Paige Cothren kick),0,14
2,2.0,Rams,Norm Van Brocklin 1 yard rush (Paige Cothren kick),0,21
3,2.0,Lions,Gene Gedman 1 yard rush (Bobby Layne kick),7,21
4,2.0,Lions,Bobby Layne 12 yard field goal,10,21
5,3.0,Lions,Jerry Reichow 9 yard pass from Tobin Rote (Bobby Layne kick),17,21
6,4.0,Rams,Leon Clarke 14 yard pass from Norm Van Brocklin (Paige Cothren kick),17,28
7,4.0,Rams,Dick Daugherty 32 yard interception return (Paige Cothren kick),17,35
