,Quarter,Tm,Detail,NYG,WAS
0,1.0,Giants,Gene Roberts 12 yard rush (Ben Agajanian kick),7,0
1,1.0,Redskins,Hugh Taylor 28 yard pass from Sammy Baugh (Dick Poillon kick),7,7
2,1.0,Giants,Joe Scott 1 yard rush (Ben Agajanian kick),14,7
3,1.0,Redskins,Hugh Taylor 76 yard pass from Sammy Baugh (Dick Poillon kick),14,14
4,2.0,Redskins,Pete Stout 1 yard rush (Dick Poillon kick),14,21
5,2.0,Giants,Noah Mullins 24 yard pass from Charlie Conerly (Ben Agajanian kick),21,21
6,2.0,Giants,Ben Agajanian 32 yard field goal,24,21
7,3.0,Giants,Clete Fischer 36 yard pass from Charlie Conerly (Ben Agajanian kick),31,21
8,3.0,Giants,Gene Roberts 25 yard pass from Charlie Conerly (Ben Agajanian kick),38,21
9,4.0,Redskins,Hal Crisler 47 yard pass from Harry Gilmer (Dick Poillon kick),38,28
10,4.0,Redskins,Howie Livingston 1 yard rush (Dick Poillon kick),38,35
11,3.0,Giants,Gene Roberts 63 yard rush (Ben Agajanian kick),45,35
