,Quarter,Tm,Detail,GNB,PIT
0,1.0,Steelers,Lynn Chandnois 13 yard rush (Joe Geri kick),0,7
1,1.0,Steelers,Jerry Nuzum 3 yard rush (Joe Geri kick),0,14
2,2.0,Steelers,Joe Geri 3 yard rush (Joe Geri kick),0,21
3,4.0,Steelers,Henry Minarik 35 yard pass from Lynn Chandnois (Joe Geri kick),0,28
4,4.0,Packers,Bob Mann 20 yard pass from Tobin Rote (Fred Cone kick),7,28
