,Quarter,Tm,Detail,STL,SFO
0,1.0,Cardinals,Derrick McAdoo 1 yard rush (Jim Gallery kick),7,0
1,2.0,Cardinals,Troy Johnson 38 yard pass from Sammy Garza (Jim Gallery kick),14,0
2,2.0,49ers,Dwight Clark 22 yard pass from Joe Montana (Jeff Brockhaus kick),14,7
3,2.0,Cardinals,Derrick McAdoo 6 yard rush (Jim Gallery kick),21,7
4,2.0,49ers,Dwight Clark 8 yard pass from Joe Montana (Jeff Brockhaus kick),21,14
5,3.0,49ers,Roger Craig 1 yard rush (Jeff Brockhaus kick),21,21
6,3.0,Cardinals,Derrick McAdoo 1 yard rush (Jim Gallery kick),28,21
7,4.0,49ers,Roger Craig 36 yard pass from Joe Montana (Jeff Brockhaus kick),28,28
8,4.0,49ers,Ron Heller 3 yard pass from Joe Montana,28,34
