,Quarter,Tm,Detail,MIA,RAM
0,2,Rams,Tom Newberry offensive fumble recovery in end zone (Mike Lansford kick),0,7
1,2,Dolphins,Mark Duper 69 yard pass from Dan Marino (Fuad Reveiz kick),7,7
2,2,Dolphins,James Pruitt 6 yard pass from Dan Marino (Fuad Reveiz kick),14,7
3,2,Dolphins,Mark Clayton 43 yard pass from Dan Marino (Fuad Reveiz kick),21,7
4,3,Rams,Henry Ellard 19 yard pass from Jim Everett (Mike Lansford kick),21,14
5,3,Rams,Kevin House 23 yard pass from Jim Everett (Mike Lansford kick),21,21
6,3,Dolphins,Mark Duper 5 yard pass from Dan Marino (Fuad Reveiz kick),28,21
7,4,Dolphins,Fuad Reveiz 18 yard field goal,31,21
8,4,Rams,Mike Lansford 32 yard field goal,31,24
9,4,Rams,Eric Dickerson 1 yard rush (Mike Lansford kick),31,31
10,OT,Dolphins,Mark Duper 20 yard pass from Dan Marino,37,31
