,Quarter,Tm,Detail,PHI,STL
0,1.0,Eagles,Charles Crawford 1 yard rush (Paul McFadden kick),7,0
1,3.0,Eagles,Paul McFadden 31 yard field goal,10,0
2,4.0,Cardinals,Roy Green 14 yard pass from Cliff Stoudt (John Lee kick),10,7
3,4.0,Cardinals,Stump Mitchell 1 yard rush,10,13
