,Quarter,Tm,Detail,DTX,CHI
0,1.0,Bears,Gene Schroeder 18 yard pass from Bob Williams (George Blanda kick),0,7
1,1.0,Bears,Chuck Hunsinger 30 yard pass from Bob Williams (George Blanda kick),0,14
2,2.0,Bears,John Dottley 6 yard rush (George Blanda kick),0,21
3,2.0,Texans,George Taliaferro 34 yard rush (Chubby Grigg kick),7,21
4,2.0,Bears,George Blanda 50 yard field goal,7,24
5,2.0,Bears,Gene Schroeder 3 yard pass from Bob Williams (George Blanda kick),7,31
6,3.0,Bears,Babe Dimancheff 77 yard rush (George Blanda kick),7,38
7,4.0,Texans,Buddy Young 2 yard rush,13,38
8,4.0,Texans,Zollie Toth 1 yard rush (Chubby Grigg kick),20,38
