,Quarter,Time,Tm,Detail,SEA,SFO
0,1.0,4:15,49ers,Joe Nedney 39 yard field goal,0,3
1,2.0,10:11,49ers,Arnaz Battle 9 yard pass from Alex Smith (Joe Nedney kick),0,10
2,2.0,4:14,49ers,Alex Smith 1 yard rush (Joe Nedney kick),0,17
3,2.0,0:00,49ers,Joe Nedney 18 yard field goal,0,20
4,3.0,12:46,Seahawks,Deion Branch 38 yard pass from Seneca Wallace (Josh Brown kick),7,20
5,4.0,6:40,Seahawks,Darrell Jackson 41 yard pass from Seneca Wallace (Josh Brown kick),14,20
