,Quarter,Tm,Detail,CLE,CHI
0,1.0,Browns,Al Gross defensive fumble recovery in end zone (Matt Bahr kick),7,0
1,1.0,Bears,Dennis Gentry 91 yard kickoff return (Kevin Butler kick),7,7
2,1.0,Bears,Walter Payton 2 yard rush (Kevin Butler kick),7,14
3,1.0,Bears,Wilber Marshall 58 yard interception return (Kevin Butler kick),7,21
4,2.0,Browns,Kevin Mack 3 yard rush (Matt Bahr kick),14,21
5,2.0,Bears,Kevin Butler 47 yard field goal,14,24
6,3.0,Browns,Kevin Mack 14 yard rush (Matt Bahr kick),21,24
7,3.0,Bears,Walter Payton 11 yard pass from Jim McMahon (Kevin Butler kick),21,31
8,4.0,Browns,Matt Bahr 22 yard field goal,24,31
9,4.0,Bears,Kevin Butler 19 yard field goal,24,34
10,4.0,Browns,Brian Brennan 15 yard pass from Bernie Kosar (Matt Bahr kick),31,34
11,4.0,Bears,Matt Suhey 6 yard rush (Kevin Butler kick),31,41
