,Quarter,Tm,Detail,BAL,MIA
0,1.0,Dolphins,David Woodley 3 yard rush (Uwe von Schamann kick),0,7
1,2.0,Colts,Don McCauley 5 yard pass from Bert Jones (Mike Wood kick),7,7
2,2.0,Dolphins,Duriel Harris 22 yard pass from David Woodley (Uwe von Schamann kick),7,14
3,2.0,Colts,Mike Wood 44 yard field goal,10,14
4,3.0,Dolphins,Uwe von Schamann 41 yard field goal,10,17
5,3.0,Dolphins,Ronnie Lee 7 yard pass from David Woodley (Uwe von Schamann kick),10,24
6,4.0,Dolphins,Uwe von Schamann 32 yard field goal,10,27
