,Quarter,Time,Tm,Detail,PHI,CIN
0,1.0,10:22,Bengals,Mike Nugent 32 yard field goal,0,3
1,1.0,1:32,Bengals,Jeremy Hill 2 yard rush (Mike Nugent kick),0,10
2,2.0,6:23,Bengals,Mike Nugent 33 yard field goal,0,13
3,2.0,0:07,Bengals,Tyler Eifert 13 yard pass from Andy Dalton (Mike Nugent kick failed),0,19
4,3.0,11:21,Bengals,Brandon LaFell 8 yard pass from Andy Dalton (Mike Nugent kick),0,26
5,3.0,4:07,Bengals,Mike Nugent 26 yard field goal,0,29
6,3.0,2:30,Eagles,Zach Ertz 13 yard pass from Carson Wentz (Caleb Sturgis kick),7,29
7,4.0,6:53,Eagles,Darren Sproles 2 yard rush (Caleb Sturgis kick),14,29
8,4.0,2:50,Bengals,Mike Nugent 38 yard field goal,14,32
