,Quarter,Tm,Detail,DAL,BUF
0,1.0,Cowboys,Calvin Hill 2 yard rush (Mike Clark kick),7,0
1,1.0,Bills,Haven Moses 73 yard pass from Dennis Shaw (Grant Guthrie kick),7,7
2,1.0,Bills,O.J. Simpson 6 yard rush (Grant Guthrie kick),7,14
3,2.0,Cowboys,Bob Hayes 76 yard pass from Craig Morton (Mike Clark kick),14,14
4,2.0,Cowboys,Walt Garrison 3 yard rush (Mike Clark kick),21,14
5,2.0,Bills,Grant Guthrie 40 yard field goal,21,17
6,2.0,Bills,Marlin Briscoe 75 yard pass from Dennis Shaw (Grant Guthrie kick),21,24
7,2.0,Cowboys,Calvin Hill 3 yard rush (Mike Clark kick),28,24
8,3.0,Bills,Marlin Briscoe 23 yard pass from Dennis Shaw,28,30
9,3.0,Cowboys,Reggie Rucker 19 yard pass from Craig Morton (Mike Clark kick),35,30
10,4.0,Cowboys,Calvin Hill 1 yard rush (Mike Clark kick),42,30
11,4.0,Cowboys,Calvin Hill 1 yard rush (Mike Clark kick),49,30
12,4.0,Bills,Ike Hill 26 yard pass from Dennis Shaw (Grant Guthrie kick),49,37
