,Quarter,Tm,Detail,NYJ,BAL
0,1.0,Jets,Pat Leahy 45 yard field goal,3,0
1,1.0,Colts,Lydell Mitchell 17 yard rush (Toni Linhart kick),3,7
2,1.0,Colts,Don McCauley 1 yard pass from Bert Jones (Toni Linhart kick),3,14
3,2.0,Colts,Roger Carr 90 yard pass from Bert Jones (Toni Linhart kick),3,21
4,2.0,Jets,Pat Leahy 36 yard field goal,6,21
5,2.0,Colts,Don McCauley 4 yard rush (Toni Linhart kick),6,28
6,2.0,Colts,Toni Linhart 36 yard field goal,6,31
7,3.0,Colts,Glenn Doughty 20 yard pass from Bert Jones (Toni Linhart kick),6,38
8,3.0,Jets,John Riggins 2 yard rush (Pat Leahy kick),13,38
9,4.0,Colts,Marty Domres 20 yard rush (Toni Linhart kick),13,45
10,4.0,Jets,Eddie Bell 12 yard pass from J.J. Jones,19,45
11,4.0,Colts,Fred Cook 49 yard defensive fumble return (Toni Linhart kick),19,52
