,Quarter,Tm,Detail,DAL,CLE
0,1.0,Browns,Gary Collins 11 yard pass from Frank Ryan (Lou Groza kick),0,7
1,1.0,Cowboys,Sam Baker 20 yard field goal,3,7
2,1.0,Browns,Lou Groza 24 yard field goal,3,10
3,2.0,Browns,Lou Groza 10 yard field goal,3,13
4,2.0,Cowboys,Amos Marsh 20 yard rush (Sam Baker kick),10,13
5,4.0,Browns,Ross Fichtner 36 yard interception return (Lou Groza kick),10,20
6,4.0,Browns,Gary Collins 16 yard pass from Frank Ryan (Lou Groza kick),10,27
7,4.0,Cowboys,Cornell Green 20 yard defensive fumble return (Sam Baker kick),17,27
