,Quarter,Time,Tm,Detail,BUF,IND
0,1.0,6:52,Bills,Rian Lindell 22 yard field goal,3,0
1,2.0,11:09,Colts,Reggie Wayne 1 yard pass from Peyton Manning (Adam Vinatieri kick),3,7
2,2.0,2:44,Colts,Adam Vinatieri 31 yard field goal,3,10
3,2.0,0:31,Bills,Terrence McGee 68 yard defensive fumble return (Rian Lindell kick),10,10
4,3.0,10:30,Colts,Joseph Addai 5 yard rush (Adam Vinatieri kick),10,17
5,3.0,8:47,Bills,Rian Lindell 30 yard field goal,13,17
6,4.0,10:35,Bills,Rian Lindell 43 yard field goal,16,17
