,Quarter,Tm,Detail,BKN,NYG
0,1.0,Giants,Chris Cagle 4 yard rush (Jack Hagerty kick),0,7
1,1.0,Giants,Chris Cagle 40 yard pass from Jack Hagerty (Jack Hagerty kick),0,14
2,4.0,Dodgers,Ollie Sansen 1 yard rush,6,14
3,4.0,Giants,Hap Moran 71 yard rush,6,20
4,4.0,Dodgers,Paul Riblett unknown yard pass from Benny Friedman,12,20
