,Quarter,Tm,Detail,NYG,PRV
0,1.0,Giants,Len Sedbrook 12 yard rush (Benny Friedman kick),7,0
1,2.0,Giants,Les Caywood 16 yard interception return (Benny Friedman kick),14,0
2,3.0,Giants,Dale Burnett 9 yard rush (Ossie Wiberg kick),21,0
3,4.0,Steam Roller,Herm Young 4 yard pass from Frosty Peters (Frosty Peters kick),21,7
4,4.0,Giants,Mule Wilson 45 yard pass from Benny Friedman,27,7
