,Quarter,Tm,Detail,MIN,CHI
0,1.0,Vikings,Fred Cox 16 yard field goal,3,0
1,1.0,Bears,Roger LeClerc 16 yard field goal,3,3
2,2.0,Vikings,Tommy Wilson 2 yard rush (Fred Cox kick),10,3
3,2.0,Vikings,Gordie Smith 53 yard pass from Ron Vander Kelen (Fred Cox kick),17,3
4,3.0,Bears,Billy Wade 1 yard rush (Bob Jencks kick),17,10
5,4.0,Bears,Joe Marconi 8 yard pass from Billy Wade (Bob Jencks kick),17,17
