,Quarter,Tm,Detail,MIA,PIT
0,1.0,Dolphins,Sammie Smith 1 yard rush (Pete Stoyanovich kick),7,0
1,2.0,Dolphins,Sammie Smith 7 yard rush (Pete Stoyanovich kick),14,0
2,2.0,Dolphins,Mark Clayton 35 yard pass from Dan Marino (Pete Stoyanovich kick),21,0
3,2.0,Steelers,Gary Anderson 46 yard field goal,21,3
4,3.0,Steelers,Gary Anderson 35 yard field goal,21,6
5,4.0,Dolphins,Tony Paige 1 yard rush (Pete Stoyanovich kick),28,6
