,Quarter,Time,Tm,Detail,WAS,MIA
0,2.0,11:42,Redskins,Terry McLaurin 25 yard pass from Case Keenum (Dustin Hopkins kick),7,0
1,2.0,1:13,Dolphins,Jason Sanders 39 yard field goal,7,3
2,3.0,9:48,Redskins,Terry McLaurin 33 yard pass from Case Keenum (Dustin Hopkins kick),14,3
3,3.0,4:19,Redskins,Dustin Hopkins 21 yard field goal,17,3
4,4.0,11:07,Dolphins,Kalen Ballage 1 yard rush (Jason Sanders kick),17,10
5,4.0,0:10,Dolphins,DeVante Parker 11 yard pass from Ryan Fitzpatrick (pass failed),17,16
