,Quarter,Tm,Detail,MIA,NWE
0,2.0,Patriots,Bob Perryman 1 yard rush (Jason Staurovsky kick),0,7
1,2.0,Dolphins,Tony Franklin 51 yard field goal,3,7
2,2.0,Patriots,Irving Fryar 1 yard pass from Doug Flutie (Jason Staurovsky kick),3,14
3,3.0,Patriots,John Stephens 13 yard rush (Jason Staurovsky kick),3,21
4,3.0,Dolphins,Ferrell Edmunds 20 yard pass from Dan Marino (Tony Franklin kick),10,21
