,Quarter,Tm,Detail,CRD,RAM
0,1.0,Cardinals,Billy Cross 80 yard pass from Jim Hardy (Cliff Patton kick),7,0
1,2.0,Rams,Dick Hoerner 11 yard rush (Bob Waterfield kick),7,7
2,3.0,Rams,Bob Waterfield 1 yard rush (Bob Waterfield kick),7,14
3,3.0,Rams,Tommy Kalmanir 67 yard punt return (Bob Waterfield kick),7,21
4,3.0,Rams,Dick Hoerner 3 yard rush (Bob Waterfield kick),7,28
5,3.0,Rams,Elroy Hirsch 53 yard pass from Bob Waterfield (Bob Waterfield kick),7,35
6,4.0,Cardinals,Charley Trippi 3 yard rush (Cliff Patton kick),14,35
7,4.0,Rams,Elroy Hirsch 54 yard pass from Norm Van Brocklin (Bob Waterfield kick),14,42
8,4.0,Rams,Bob Waterfield 26 yard field goal,14,45
9,4.0,Cardinals,Fran Polsfoot 80 yard pass from Charley Trippi (Cliff Patton kick),21,45
