,Quarter,Tm,Detail,SFO,BAL
0,1.0,49ers,Stan Hindman 25 yard interception return (Tommy Davis kick),7,0
1,1.0,Colts,Tom Matte 1 yard rush (Lou Michaels kick),7,7
2,2.0,Colts,Tom Mitchell 8 yard pass from Earl Morrall (Lou Michaels kick),7,14
3,2.0,49ers,Tommy Davis 38 yard field goal,10,14
4,3.0,Colts,Jimmy Orr 16 yard pass from Earl Morrall (Lou Michaels kick),10,21
5,3.0,Colts,Lou Michaels 22 yard field goal,10,24
6,4.0,Colts,Lou Michaels 43 yard field goal,10,27
