,Quarter,Tm,Detail,CLE,CRD
0,1.0,Browns,Dub Jones 24 yard rush (Lou Groza kick),7,0
1,1.0,Browns,Otto Graham 1 yard rush (Lou Groza kick),14,0
2,1.0,Cardinals,Fran Polsfoot 20 yard pass from Jim Hardy (Cliff Patton kick),14,7
3,2.0,Browns,Lou Groza 32 yard field goal,17,7
4,2.0,Cardinals,Cliff Patton 10 yard field goal,17,10
5,2.0,Browns,Dante Lavelli 27 yard pass from Otto Graham (Lou Groza kick),24,10
6,3.0,Browns,Otto Graham 1 yard rush (Lou Groza kick),31,10
7,4.0,Browns,Lou Groza 21 yard field goal,34,10
8,4.0,Cardinals,Ralph Pasquariello 1 yard rush (Cliff Patton kick),34,17
