,Quarter,Tm,Detail,RAM,CHI
0,1.0,Bears,Jim McMahon 16 yard rush (Kevin Butler kick),0,7
1,1.0,Bears,Kevin Butler 34 yard field goal,0,10
2,3.0,Bears,Willie Gault 22 yard pass from Jim McMahon (Kevin Butler kick),0,17
3,4.0,Bears,Wilber Marshall 52 yard defensive fumble return (Kevin Butler kick),0,24
