,Quarter,Tm,Detail,STL,PHI
0,1.0,Cardinals,Jim Hart 1 yard rush (Jim Bakken kick),7,0
1,3.0,Eagles,Tom Dempsey 48 yard field goal,7,3
2,4.0,Cardinals,Jim Bakken 28 yard field goal,10,3
3,4.0,Cardinals,Jim Bakken 30 yard field goal,13,3
