,Quarter,Tm,Detail,SDG,MIA
0,1.0,Dolphins,Garo Yepremian 37 yard field goal,0,3
1,1.0,Chargers,Dennis Partee 12 yard field goal,3,3
2,2.0,Dolphins,Dick Anderson 35 yard defensive fumble return (Garo Yepremian kick),3,10
3,2.0,Dolphins,Howard Twilley 18 yard pass from Earl Morrall (Garo Yepremian kick),3,17
4,3.0,Dolphins,Paul Warfield 19 yard pass from Earl Morrall (Garo Yepremian kick),3,24
5,4.0,Chargers,Cid Edwards 3 yard pass from John Hadl (Bill McClard kick),10,24
