,Quarter,Tm,Detail,CLE,DAL
0,2.0,Cowboys,Craig Baynham 2 yard rush (Mike Clark kick),0,7
1,2.0,Cowboys,Willie Townes 20 yard defensive fumble return (Mike Clark kick),0,14
2,2.0,Browns,Paul Warfield 55 yard pass from Frank Ryan (Don Cockroft kick),7,14
3,3.0,Cowboys,Dan Reeves 4 yard rush (Mike Clark kick),7,21
4,4.0,Cowboys,Dan Reeves 1 yard rush (Mike Clark kick),7,28
