,Quarter,Time,Tm,Detail,STL,CIN
0,1.0,5:32,Bengals,Rudi Johnson 1 yard rush (Shayne Graham kick),0,7
1,2.0,9:50,Bengals,Shayne Graham 27 yard field goal,0,10
2,3.0,14:06,Rams,Fakhir Brown 36 yard interception return (Jeff Wilkins kick),7,10
3,3.0,4:41,Bengals,Shayne Graham 38 yard field goal,7,13
4,3.0,0:19,Bengals,Shayne Graham 32 yard field goal,7,16
5,4.0,5:08,Rams,Jeff Wilkins 50 yard field goal,10,16
6,4.0,2:22,Bengals,Shayne Graham 46 yard field goal,10,19
