,Quarter,Time,Tm,Detail,NWE,SDG
0,1.0,0:40,Patriots,Stephen Gostkowski 50 yard field goal,3,0
1,2.0,7:19,Chargers,LaDainian Tomlinson 2 yard rush (Nate Kaeding kick),3,7
2,2.0,2:04,Chargers,Michael Turner 6 yard rush (Nate Kaeding kick),3,14
3,2.0,0:08,Patriots,Jabar Gaffney 6 yard pass from Tom Brady (Stephen Gostkowski kick),10,14
4,3.0,2:11,Patriots,Stephen Gostkowski 34 yard field goal,13,14
5,4.0,8:35,Chargers,LaDainian Tomlinson 3 yard rush (Nate Kaeding kick),13,21
6,4.0,4:36,Patriots,Reche Caldwell 4 yard pass from Tom Brady (Kevin Faulk run),21,21
7,4.0,1:10,Patriots,Stephen Gostkowski 31 yard field goal,24,21
