,Quarter,Tm,Detail,WAS,CLE
0,2.0,Redskins,Mark Moseley 35 yard field goal,3,0
1,2.0,Browns,Calvin Hill 1 yard rush,3,6
2,3.0,Redskins,Mark Moseley 17 yard field goal,6,6
3,3.0,Browns,Don Cockroft 37 yard field goal,6,9
4,4.0,Redskins,Clarence Harmon 14 yard pass from Joe Theismann (Mark Moseley kick),13,9
