,Quarter,Tm,Detail,DAY,GNB
0,3.0,Packers,Verne Lewellen 30 yard pass from Red Dunn (Red Dunn kick),0,7
1,3.0,Packers,"Safety, Buchanan tackled in end zone after bad snap",0,9
