,Quarter,Time,Tm,Detail,MIN,NYG
0,1.0,,Giants,Brad Daluiso 43 yard field goal,0,3
1,1.0,,Giants,Brad Daluiso 22 yard field goal,0,6
2,2.0,,Giants,Aaron Pierce 2 yard pass from Danny Kanell (Brad Daluiso kick),0,13
3,2.0,,Giants,Brad Daluiso 41 yard field goal,0,16
4,2.0,,Vikings,Eddie Murray 26 yard field goal,3,16
5,2.0,,Giants,Brad Daluiso 51 yard field goal,3,19
6,3.0,15:00,Vikings,Leroy Hoard 4 yard rush (Eddie Murray kick),10,19
7,4.0,15:00,Vikings,Eddie Murray 26 yard field goal,13,19
8,4.0,15:00,Giants,Brad Daluiso 22 yard field goal,13,22
9,4.0,15:00,Vikings,Jake Reed 30 yard pass from Randall Cunningham (Eddie Murray kick),20,22
10,4.0,15:00,Vikings,Eddie Murray 24 yard field goal,23,22
