,Quarter,Tm,Detail,CLE,PIT
0,1,Browns,Ozzie Newsome 21 yard pass from Brian Sipe (Don Cockroft kick),7,0
1,1,Browns,Don Cockroft 20 yard field goal,10,0
2,1,Steelers,Matt Bahr 45 yard field goal,10,3
3,2,Browns,Don Cockroft 32 yard field goal,13,3
4,2,Steelers,Matt Bahr 34 yard field goal,13,6
5,2,Browns,Dave Logan 16 yard pass from Brian Sipe (Don Cockroft kick),20,6
6,2,Steelers,Franco Harris 2 yard pass from Terry Bradshaw (Matt Bahr kick),20,13
7,3,Browns,Calvin Hill 3 yard pass from Brian Sipe (Don Cockroft kick),27,13
8,4,Steelers,Franco Harris 1 yard rush (Matt Bahr kick),27,20
9,4,Browns,Don Cockroft 40 yard field goal,30,20
10,4,Steelers,Franco Harris 3 yard rush (Matt Bahr kick),30,27
11,4,Steelers,Matt Bahr 21 yard field goal,30,30
12,OT,Steelers,Matt Bahr 37 yard field goal,30,33
