,Quarter,Tm,Detail,WAS,PHI
0,1.0,Eagles,Don Stevens 56 yard punt return (Bobby Walston kick),0,7
1,1.0,Eagles,Bud Grant 7 yard pass from Bobby Thomason (Bobby Walston kick),0,14
2,2.0,Redskins,Johnny Williams 74 yard punt return (George Buksar kick),7,14
3,2.0,Eagles,John Huzvar 1 yard rush (Bobby Walston kick),7,21
4,2.0,Eagles,Mike Jarmoluk 16 yard fumble return (Bobby Walston kick),7,28
5,3.0,Eagles,Bud Grant 4 yard pass from Bobby Thomason (Bobby Walston kick),7,35
6,3.0,Redskins,Chuck Drazenovich 1 yard rush,13,35
7,4.0,Eagles,Bobby Walston 26 yard field goal,13,38
8,4.0,Redskins,Hugh Taylor 55 yard pass from Harry Gilmer (George Buksar kick),20,38
