,Quarter,Tm,Detail,PIT,CHI
0,1.0,Bears,George McAfee 33 yard rush (Pete Gudauskas kick),0,7
1,1.0,Steelers,Bill Dudley 4 yard rush (Ben Agajanian kick),7,7
2,1.0,Bears,George McAfee 65 yard pass from Sid Luckman (Pete Gudauskas kick),7,14
3,2.0,Bears,Al Grygo 33 yard pass from Sid Luckman (Pete Gudauskas kick),7,21
4,4.0,Bears,George McAfee 2 yard rush (Pete Gudauskas kick),7,28
