,Quarter,Tm,Detail,RAM,GNB
0,1.0,Rams,Greg Bell 1 yard rush (Mike Lansford kick),7,0
1,2.0,Rams,Greg Bell 3 yard pass from Jim Everett (Mike Lansford kick),14,0
2,2.0,Rams,Henry Ellard 11 yard pass from Jim Everett (Mike Lansford kick),21,0
3,3.0,Rams,Mike Lansford 33 yard field goal,24,0
4,3.0,Rams,Jerry Gray 47 yard interception return (Mike Lansford kick),31,0
5,4.0,Packers,Ed West 17 yard pass from Don Majkowski (Max Zendejas kick),31,7
6,4.0,Rams,Mike Lansford 29 yard field goal,34,7
