,Quarter,Time,Tm,Detail,SEA,GNB
0,2.0,0:00,Seahawks,Blair Walsh 33 yard field goal,3,0
1,3.0,10:33,Packers,Ty Montgomery 6 yard rush (Mason Crosby kick),3,7
2,3.0,4:20,Seahawks,Blair Walsh 21 yard field goal,6,7
3,3.0,0:17,Packers,Jordy Nelson 32 yard pass from Aaron Rodgers (Mason Crosby kick),6,14
4,4.0,8:01,Packers,Mason Crosby 40 yard field goal,6,17
5,4.0,6:17,Seahawks,Blair Walsh 41 yard field goal,9,17
