,Quarter,Tm,Detail,CHI,PHI
0,1.0,Bears,Bob Margarita 11 yard rush (Pete Gudauskas kick),7,0
1,1.0,Bears,Jim Fordham 1 yard rush (Pete Gudauskas kick),14,0
2,2.0,Bears,Rudy Smeja 18 yard pass from Sid Luckman (Pete Gudauskas kick),21,0
3,4.0,Eagles,Tom Miller 35 yard interception return (Roy Zimmerman kick),21,7
4,4.0,Bears,Gary Famiglietti 1 yard rush (Pete Gudauskas kick),28,7
