,Quarter,Tm,Detail,CLE,ATL
0,1.0,Falcons,Norm Johnson 51 yard field goal,0,3
1,1.0,Falcons,Andre Rison 14 yard pass from Bobby Hebert (Norm Johnson kick),0,10
2,2.0,Falcons,Mike Pritchard 8 yard pass from Bobby Hebert (Norm Johnson kick),0,17
3,3.0,Browns,Mark Carrier 35 yard pass from Todd Philcox (Matt Stover kick),7,17
4,4.0,Browns,Todd Philcox 3 yard rush (Matt Stover kick),14,17
