,Quarter,Tm,Detail,DET,WAS
0,1.0,Redskins,Earnest Byner 6 yard rush (Chip Lohmiller kick),0,7
1,2.0,Lions,Jason Hanson 52 yard field goal,3,7
2,2.0,Redskins,Chip Lohmiller 53 yard field goal,3,10
3,4.0,Redskins,Chip Lohmiller 27 yard field goal,3,13
4,4.0,Lions,Willie Green 67 yard pass from Rodney Peete (Jason Hanson kick),10,13
