,Quarter,Tm,Detail,BUF,CIN
0,2,Bills,Jerry Butler 16 yard pass from Joe Ferguson (Nick Mike-Mayer kick),7,0
1,4,Bills,Roland Hooks 5 yard rush (Nick Mike-Mayer kick),14,0
