,Quarter,Tm,Detail,NYG,PHI
0,1.0,Giants,Randy Clay 15 yard field goal,3,0
1,1.0,Giants,Bob McChesney 5 yard pass from Charlie Conerly,9,0
2,2.0,Eagles,Jim Parmer 36 yard pass from Tommy Thompson (Cliff Patton kick),9,7
