,Quarter,Time,Tm,Detail,SEA,ARI
0,1,,Cardinals,Rob Moore 8 yard pass from Dave Krieg (Greg Davis kick),0,7
1,1,4:31,Cardinals,Keith McCants 5 yard defensive fumble return (Greg Davis kick),0,14
2,3,4:31,Seahawks,Mack Strong 17 yard pass from John Friesz (Todd Peterson kick),7,14
3,4,4:31,Seahawks,Mack Strong 2 yard pass from John Friesz (Todd Peterson kick),14,14
4,OT,4:31,Cardinals,Lorenzo Lynch 72 yard interception return,14,20
