,Quarter,Time,Tm,Detail,DET,ARI
0,1.0,8:31,Lions,Matt Prater 37 yard field goal,3,0
1,1.0,0:20,Cardinals,Andy Isabella 13 yard pass from Kyler Murray (Zane Gonzalez kick),3,7
2,2.0,6:20,Lions,Jesse James 5 yard pass from Matthew Stafford (Matt Prater kick),10,7
3,2.0,2:00,Cardinals,Kyler Murray 1 yard rush (Zane Gonzalez kick failed),10,13
4,2.0,0:35,Lions,Kenny Golladay 15 yard pass from Matthew Stafford (Matt Prater kick),17,13
5,3.0,11:24,Cardinals,Zane Gonzalez 54 yard field goal,17,16
6,3.0,5:30,Lions,Matt Prater 24 yard field goal,20,16
7,3.0,0:40,Cardinals,Andy Isabella 4 yard pass from Kyler Murray (Zane Gonzalez kick),20,23
8,4.0,6:49,Lions,Matt Prater 35 yard field goal,23,23
9,4.0,0:04,Lions,Matt Prater 39 yard field goal,26,23
