,Quarter,Tm,Detail,BUF,MIA
0,1,Dolphins,Mark Duper 5 yard pass from Dan Marino (Fuad Reveiz kick),0,7
1,1,Dolphins,James Pruitt 25 yard pass from Dan Marino (Fuad Reveiz kick),0,14
2,2,Dolphins,Bruce Hardy 2 yard pass from Dan Marino (Fuad Reveiz kick),0,21
3,2,Bills,Scott Norwood 41 yard field goal,3,21
4,3,Bills,Robb Riddick 1 yard rush (Scott Norwood kick),10,21
5,3,Bills,Chris Burkett 14 yard pass from Jim Kelly (Scott Norwood kick),17,21
6,4,Dolphins,Fuad Reveiz 46 yard field goal,17,24
7,4,Bills,Robb Riddick 1 yard rush (Scott Norwood kick),24,24
8,4,Bills,Robb Riddick 17 yard pass from Jim Kelly (Scott Norwood kick),31,24
9,4,Dolphins,Mark Clayton 12 yard pass from Dan Marino (Fuad Reveiz kick),31,31
10,OT,Bills,Scott Norwood 27 yard field goal,34,31
