,Quarter,Tm,Detail,SDG,CIN
0,1.0,Bengals,Fred Willis 2 yard rush (Horst Muhlmann kick),0,7
1,2.0,Bengals,Bob Trumpy 10 yard pass from Virgil Carter (Horst Muhlmann kick),0,14
2,2.0,Bengals,Al Beauchamp 18 yard interception return (Horst Muhlmann kick),0,21
3,3.0,Bengals,Fred Willis 3 yard rush (Horst Muhlmann kick),0,28
4,4.0,Bengals,Horst Muhlmann 40 yard field goal,0,31
