,Quarter,Tm,Detail,PIT,DET
0,3.0,Steelers,Elbie Nickel 43 yard pass from Bob Gage (Joe Geri kick),7,0
1,4.0,Lions,Doak Walker 11 yard pass from Bobby Layne (Doak Walker kick),7,7
2,4.0,Lions,Doak Walker 20 yard field goal,7,10
