,Quarter,Time,Tm,Detail,GNB,PIT
0,1.0,8:14,Steelers,Xavier Grimble 1 yard pass from Ben Roethlisberger (Chris Boswell kick failed),0,6
1,1.0,4:45,Packers,Randall Cobb 39 yard pass from Brett Hundley (Mason Crosby kick),7,6
2,1.0,1:22,Packers,Jamaal Williams 54 yard pass from Brett Hundley (Mason Crosby kick),14,6
3,2.0,7:20,Steelers,Martavis Bryant 17 yard pass from Ben Roethlisberger (Antonio Brown pass from Ben Roethlisberger),14,14
4,3.0,12:06,Packers,Davante Adams 55 yard pass from Brett Hundley (Mason Crosby kick),21,14
5,3.0,0:50,Steelers,Antonio Brown 1 yard pass from Ben Roethlisberger (Chris Boswell kick),21,21
6,4.0,8:42,Steelers,Antonio Brown 33 yard pass from Ben Roethlisberger (Chris Boswell kick),21,28
7,4.0,2:02,Packers,Jamaal Williams 4 yard rush (Mason Crosby kick),28,28
8,4.0,0:00,Steelers,Chris Boswell 53 yard field goal,28,31
