,Quarter,Tm,Detail,DET,RAM
0,1.0,Lions,Errol Mann 48 yard field goal,3,0
1,1.0,Rams,David Ray 30 yard field goal,3,3
2,2.0,Rams,Lance Rentzel 14 yard pass from Roman Gabriel (David Ray kick),3,10
3,2.0,Lions,Altie Taylor 2 yard rush (Errol Mann kick),10,10
4,2.0,Lions,Rudy Redmond 88 yard interception return (Errol Mann kick),17,10
5,3.0,Rams,Larry Smith 3 yard pass from Roman Gabriel (David Ray kick),17,17
6,3.0,Lions,Charlie Sanders 8 yard pass from Greg Landry (Errol Mann kick),24,17
7,4.0,Lions,Charlie Sanders 3 yard pass from Greg Landry (Errol Mann kick),31,17
8,4.0,Lions,Errol Mann 37 yard field goal,34,17
