,Quarter,Time,Tm,Detail,PHI,NOR
0,1.0,,Saints,Chip Lohmiller 34 yard field goal,0,3
1,1.0,,Eagles,Gary Anderson 20 yard field goal,3,3
2,2.0,,Eagles,Gary Anderson 43 yard field goal,6,3
3,3.0,,Eagles,Gary Anderson 36 yard field goal,9,3
4,3.0,,Saints,Torrance Small 44 yard rush (Chip Lohmiller kick),9,10
5,3.0,,Eagles,Gary Anderson 37 yard field goal,12,10
6,4.0,,Eagles,Gary Anderson 42 yard field goal,15,10
