,Quarter,Tm,Detail,NWE,NYJ
0,1.0,Jets,Pat Leahy 37 yard field goal,0,3
1,1.0,Jets,Pat Leahy 34 yard field goal,0,6
2,2.0,Patriots,Tony Franklin 32 yard field goal,3,6
3,3.0,Jets,Al Toon 58 yard pass from Ken O'Brien (Pat Leahy kick),3,13
4,3.0,Jets,Johnny Hector 5 yard rush (Pat Leahy kick),3,20
5,3.0,Patriots,Andre Tippett 29 yard defensive fumble return (Tony Franklin kick),10,20
6,3.0,Jets,Johnny Hector 9 yard rush (Pat Leahy kick),10,27
7,4.0,Jets,"Safety, Lyons tackled Tatupu in end zone",10,29
8,4.0,Patriots,Greg Baty 1 yard pass from Tony Eason (Tony Franklin kick),17,29
9,4.0,Jets,Nuu Faaola 1 yard rush (Pat Leahy kick),17,36
10,4.0,Patriots,Stephen Starring 12 yard pass from Tony Eason (Tony Franklin kick),24,36
11,4.0,Jets,Nuu Faaola 1 yard rush (Pat Leahy kick),24,43
