,Quarter,Tm,Detail,CLE,PHI
0,1.0,Browns,Lou Groza 17 yard field goal,3,0
1,1.0,Browns,Ray Renfro 61 yard pass from Otto Graham (Lou Groza kick),10,0
2,1.0,Browns,Otto Graham 1 yard rush (Lou Groza kick),17,0
3,2.0,Eagles,Bill Stribling 2 yard pass from Adrian Burk (Dick Bielski kick),17,7
4,2.0,Eagles,Dick Bielski 23 yard field goal,17,10
5,3.0,Eagles,Bill Stribling 21 yard pass from Adrian Burk,17,16
6,4.0,Eagles,Adrian Burk 1 yard rush (Dick Bielski kick),17,23
7,4.0,Eagles,Bibbles Bawel 40 yard interception return (Dick Bielski kick),17,30
8,4.0,Eagles,Dick Bielski 40 yard field goal,17,33
