,Quarter,Time,Tm,Detail,NOR,NYG
0,1.0,,Giants,Rodney Hampton 1 yard rush (Brad Daluiso kick),0,7
1,1.0,,Saints,Mario Bates 3 yard rush (Chip Lohmiller kick),7,7
2,2.0,,Saints,Wesley Walls 9 yard pass from Jim Everett (Chip Lohmiller kick),14,7
3,2.0,,Giants,Rodney Hampton 5 yard rush (Brad Daluiso kick),14,14
4,2.0,,Saints,Chip Lohmiller 20 yard field goal,17,14
5,2.0,,Giants,Chris Calloway 38 yard pass from Dave Brown (Brad Daluiso kick),17,21
6,2.0,,Giants,Brad Daluiso 50 yard field goal,17,24
7,3.0,,Giants,Rodney Hampton 2 yard rush (Brad Daluiso kick),17,31
8,3.0,,Giants,Rodney Hampton 3 yard rush (Brad Daluiso kick),17,38
9,4.0,,Saints,Torrance Small 1 yard pass from Jim Everett,23,38
10,4.0,,Giants,Tyrone Wheatley 19 yard rush (Brad Daluiso kick),23,45
11,4.0,,Saints,Derek Brown 4 yard pass from Jim Everett (pass failed),29,45
