,Quarter,Tm,Detail,SFO,RAM
0,2.0,49ers,C.R. Roberts 10 yard rush (Tommy Davis kick),7,0
1,2.0,49ers,Tommy Davis 9 yard field goal,10,0
2,3.0,49ers,Tommy Davis 27 yard field goal,13,0
3,3.0,49ers,Clyde Conner 65 yard pass from John Brodie (Tommy Davis kick),20,0
4,4.0,49ers,Tommy Davis 7 yard field goal,23,0
5,4.0,Rams,Frank Ryan 2 yard rush (Lou Michaels kick),23,7
